sieve,13F0,13F1,13F2,13F3,13F4,13F5,13OS1,13OS2,13OS3,13OS4,13OS5,14F0,14OS1,14OS2,14OS3,14OS4,14OS5
1180,9.46,9.95,10.08,18.17,9.95,6.01,19.04,21.93,33.92,23.43,18.03,68.18,232.27,195.2,33.08,194.45,328.12
600,21.57,22.1,22.94,34.54,22.1,16.57,43.77,46.02,4.95,43.12,49.09,100.97,364.74,376.3,84.06,387.86,519.93
425,21.78,17.73,22.96,30.65,17.73,17.75,51.89,46.91,76.61,37.96,60.57,102.46,400.1,415.22,106.75,431.7,503.45
300,35.7,32.88,36.92,44.94,32.88,28.5,63.84,61.18,97.79,50.84,77.39,153.1,494.4,475.96,154.22,528.96,562.59
212,34.68,36.67,34.58,49.25,36.67,33.82,40.83,45.4,48,37.58,43.4,126.15,214.09,175.89,66.02,233.72,233.6
180,13.17,13.09,13.84,13.22,13.09,10.26,5.97,6.43,9.87,5.6,4.69,31.27,34.04,21.52,6.72,38.1,38.86
150,13.97,13.56,14.03,20.61,13.56,14.39,6.86,8.74,7.77,6.47,4.56,44.95,41.56,19.16,4.09,39.91,35.4
106,22.92,23.94,24.6,28.38,23.94,23.79,7.44,8.55,8.87,6.97,3.59,62.9,46.08,16.85,3.43,52.9,47.1
75,16.49,18.12,18.84,20.32,18.12,19.79,4.96,4.8,6.76,4.05,1.72,46.16,32.86,8.01,1.58,37.46,30.51
53,19.61,15.99,20.88,20.78,15.99,23.81,4.87,4.11,6.48,3.82,1.45,42.88,27.14,6.33,1.33,26.28,20.04
38,11.41,11.2,12.1,15.55,11.2,12.86,3.86,2.92,4.05,2.91,1.12,23.45,21.82,4.7,1.18,24.31,17.31
0,70.07,58.96,65.72,81.12,58.96,75.39,21.06,13.44,28.46,17.27,7.11,134.84,124.89,109.45,11.88,125.26,112.93
