"sieve","OS13MeanPct","OS14MeanPct","CumRet_OS13","CumPass_OS13","CumRet_OS14","CumPass_OS14"
1180,0.0857018676553486,0.0948807231830757,0.0857018676553486,0.914298132344651,0.0948807231830757,0.905119276816924
600,0.213344150684396,0.235057225052213,0.299046018339744,0.700953981660256,0.329937948235289,0.670062051764711
425,0.199868579795377,0.226817015927893,0.498914598135122,0.501085401864878,0.556754964163182,0.443245035836818
300,0.229443412958997,0.225160446484904,0.728358011094119,0.271641988905881,0.781915410648085,0.218084589351915
212,0.119254922306429,0.0928266338988202,0.847612933400547,0.152387066599453,0.874742044546906,0.125257955453094
180,0.0189262597691587,0.015230928882987,0.866539193169706,0.133460806830294,0.889972973429893,0.110027026570107
150,0.0195964438699308,0.0151291221861573,0.886135637039637,0.113864362960363,0.90510209561605,0.09489790438395
106,0.0238456209642753,0.0179271979096486,0.909981258003912,0.0900187419960881,0.923029293525699,0.0769707064743014
75,0.0138117801110311,0.0108191961706679,0.923793038114943,0.0762069618850569,0.933848489696366,0.0661515103036335
53,0.0135730710007709,0.0110659926827918,0.937366109115714,0.0626338908842861,0.944914482379158,0.0550855176208417
38,0.00878719880729701,0.0078052070331355,0.946153307923011,0.053846692076989,0.952719689412294,0.0472803105877062
0,0.053846692076989,0.0472803105877062,1,0,1,0
