"sieve","Feed13MeanPct","Feed14MeanPct","CumRet_F13","CumPass_F13","CumRet_F14","CumPass_F14"
1180,0.0405155903865973,0.0462433375541192,0.0405155903865973,0.959484409613403,0.0462433375541192,0.953756662445881
600,0.100826354474641,0.10618980330114,0.141341944861238,0.858658055138762,0.152433140855259,0.847566859144741
425,0.0951732005631376,0.0969808889463509,0.236515145424376,0.763484854575625,0.24941402980161,0.75058597019839
300,0.130986896557492,0.13238004068598,0.367502041981867,0.632497958018133,0.38179407048759,0.61820592951241
212,0.126304365125606,0.123961909602351,0.493806407107473,0.506193592892527,0.505755980089941,0.494244019910059
180,0.044328971874269,0.0436509362077421,0.538135378981742,0.461864621018258,0.549406916297683,0.450593083702317
150,0.0530175708603591,0.0531440752487602,0.591152949842101,0.408847050157899,0.602550991546443,0.397449008453557
106,0.0895959533821184,0.0851230544595786,0.680748903224219,0.319251096775781,0.687674046006022,0.312325953993978
75,0.0609912793429702,0.060776900348552,0.741740182567189,0.258259817432811,0.748450946354574,0.251549053645426
53,0.0544843557318453,0.053088926541444,0.796224538299035,0.203775461700965,0.801539872896018,0.198460127103982
38,0.0297245189439133,0.0279787252985458,0.825949057242948,0.174050942757052,0.829518598194563,0.170481401805437
0,0.174050942757052,0.170481401805437,1,0,1,0
