"","sieve","stream","cumret","cumpass","Df"
"1",1180,"Feed13MeanPct",0.0405155903865973,0.959484409613403,"Feed (modeled)"
"2",1180,"Feed14MeanPct",0.0462433375541192,0.953756662445881,"Feed (modeled)"
"3",1180,"OS13MeanPct",0.0857018676553486,0.914298132344651,"OS (mod.)"
"4",1180,"OS14MeanPct",0.0948807231830757,0.905119276816924,"OS (mod.)"
"5",1180,"US13MeanPct",0,1,"US (mod.)"
"6",1180,"US14MeanPct",0,1,"US (mod.)"
"7",600,"Feed13MeanPct",0.141341944861238,0.858658055138762,"Feed (modeled)"
"8",600,"Feed14MeanPct",0.152433140855259,0.847566859144741,"Feed (modeled)"
"9",600,"OS13MeanPct",0.299046018339745,0.700953981660255,"OS (mod.)"
"10",600,"OS14MeanPct",0.329937948235289,0.670062051764711,"OS (mod.)"
"11",600,"US13MeanPct",0.000438950732169821,0.99956104926783,"US (mod.)"
"12",600,"US14MeanPct",0.000296068214116532,0.999703931785883,"US (mod.)"
"13",425,"Feed13MeanPct",0.236515145424376,0.763484854575624,"Feed (modeled)"
"14",425,"Feed14MeanPct",0.24941402980161,0.75058597019839,"Feed (modeled)"
"15",425,"OS13MeanPct",0.498914598135122,0.501085401864878,"OS (mod.)"
"16",425,"OS14MeanPct",0.556754964163182,0.443245035836818,"OS (mod.)"
"17",425,"US13MeanPct",0.000913017522913228,0.999086982477087,"US (mod.)"
"18",425,"US14MeanPct",0.000744400081207281,0.999255599918793,"US (mod.)"
"19",300,"Feed13MeanPct",0.367502041981868,0.632497958018132,"Feed (modeled)"
"20",300,"Feed14MeanPct",0.38179407048759,0.61820592951241,"Feed (modeled)"
"21",300,"OS13MeanPct",0.728358011094119,0.271641988905881,"OS (mod.)"
"22",300,"OS14MeanPct",0.781915410648086,0.218084589351914,"OS (mod.)"
"23",300,"US13MeanPct",0.0182076763704042,0.981792323629596,"US (mod.)"
"24",300,"US14MeanPct",0.0223150842525547,0.977684915747445,"US (mod.)"
"25",212,"Feed13MeanPct",0.493806407107474,0.506193592892526,"Feed (modeled)"
"26",212,"Feed14MeanPct",0.505755980089941,0.494244019910059,"Feed (modeled)"
"27",212,"OS13MeanPct",0.847612933400548,0.152387066599452,"OS (mod.)"
"28",212,"OS14MeanPct",0.874742044546906,0.125257955453094,"OS (mod.)"
"29",212,"US13MeanPct",0.16103346560382,0.83896653439618,"US (mod.)"
"30",212,"US14MeanPct",0.164487040671314,0.835512959328686,"US (mod.)"
"31",180,"Feed13MeanPct",0.538135378981743,0.461864621018257,"Feed (modeled)"
"32",180,"Feed14MeanPct",0.549406916297683,0.450593083702317,"Feed (modeled)"
"33",180,"OS13MeanPct",0.866539193169706,0.133460806830294,"OS (mod.)"
"34",180,"OS14MeanPct",0.889972973429893,0.110027026570107,"OS (mod.)"
"35",180,"US13MeanPct",0.229307862485514,0.770692137514486,"US (mod.)"
"36",180,"US14MeanPct",0.220773837720782,0.779226162279218,"US (mod.)"
"37",150,"Feed13MeanPct",0.591152949842102,0.408847050157898,"Feed (modeled)"
"38",150,"Feed14MeanPct",0.602550991546443,0.397449008453557,"Feed (modeled)"
"39",150,"OS13MeanPct",0.886135637039637,0.113864362960363,"OS (mod.)"
"40",150,"OS14MeanPct",0.90510209561605,0.0948979043839498,"OS (mod.)"
"41",150,"US13MeanPct",0.33077571373389,0.66922428626611,"US (mod.)"
"42",150,"US14MeanPct",0.309518170129255,0.690481829870745,"US (mod.)"
"43",106,"Feed13MeanPct",0.68074890322422,0.31925109677578,"Feed (modeled)"
"44",106,"Feed14MeanPct",0.687674046006022,0.312325953993978,"Feed (modeled)"
"45",106,"OS13MeanPct",0.909981258003912,0.0900187419960876,"OS (mod.)"
"46",106,"OS14MeanPct",0.923029293525699,0.0769707064743013,"OS (mod.)"
"47",106,"US13MeanPct",0.494416546686799,0.505583453313201,"US (mod.)"
"48",106,"US14MeanPct",0.461215063950734,0.538784936049266,"US (mod.)"
"49",75,"Feed13MeanPct",0.741740182567191,0.258259817432809,"Feed (modeled)"
"50",75,"Feed14MeanPct",0.748450946354574,0.251549053645426,"Feed (modeled)"
"51",75,"OS13MeanPct",0.923793038114944,0.0762069618850565,"OS (mod.)"
"52",75,"OS14MeanPct",0.933848489696367,0.0661515103036333,"OS (mod.)"
"53",75,"US13MeanPct",0.601538083365522,0.398461916634478,"US (mod.)"
"54",75,"US14MeanPct",0.562673411382554,0.437326588617446,"US (mod.)"
"55",53,"Feed13MeanPct",0.796224538299036,0.203775461700964,"Feed (modeled)"
"56",53,"Feed14MeanPct",0.801539872896018,0.198460127103982,"Feed (modeled)"
"57",53,"OS13MeanPct",0.937366109115714,0.0626338908842856,"OS (mod.)"
"58",53,"OS14MeanPct",0.944914482379158,0.0550855176208416,"OS (mod.)"
"59",53,"US13MeanPct",0.69034659549812,0.30965340450188,"US (mod.)"
"60",53,"US14MeanPct",0.658396494552345,0.341603505447655,"US (mod.)"
"61",38,"Feed13MeanPct",0.825949057242949,0.174050942757051,"Feed (modeled)"
"62",38,"Feed14MeanPct",0.829518598194564,0.170481401805436,"Feed (modeled)"
"63",38,"OS13MeanPct",0.946153307923011,0.0538466920769886,"OS (mod.)"
"64",38,"OS14MeanPct",0.952719689412294,0.047280310587706,"OS (mod.)"
"65",38,"US13MeanPct",0.735435614706604,0.264564385293396,"US (mod.)"
"66",38,"US14MeanPct",0.712475468633688,0.287524531366312,"US (mod.)"
